,quadrante,caracteristica
1237,D-_R+,Canal_2
1238,D-_R+,Canal_2
1239,D-_R-,Canal_2
1240,D+_R-,Canal_1
1241,D-_R+,Canal_1
1242,D-_R-,Canal_2
1243,D-_R-,Canal_2
1244,D+_R-,Canal_2
1245,D+_R-,Canal_2
1246,D+_R+,Canal_2
1247,D+_R-,Canal_2
1248,D+_R+,Canal_2
1249,D+_R-,Canal_2
1250,D+_R-,Canal_1
1251,D+_R+,Canal_1
1252,D+_R-,Canal_1
1253,D+_R+,Canal_1
1254,D+_R+,Canal_1
1255,D+_R-,Canal_1
1256,D-_R-,Canal_2
1257,D+_R-,Canal_1
1258,D+_R+,Canal_1
